Month,Day,Names
1,1,"Nový rok"
1,2,"Alexandra,Sandra,Karina"
1,3,"Daniela"
1,4,"Drahoslav"
1,5,"Andrea,Artur"
1,6,"Antónia"
1,7,"Bohuslava,Atila"
1,8,"Severín"
1,9,"Alexej,Alex,Alexia"
1,10,"Daša"
1,11,"Malvína"
1,12,"Ernest,Ernestína"
1,13,"Rastislav"
1,14,"Radovan,Radovana"
1,15,"Dobroslav,Dobroslava"
1,16,"Kristína"
1,17,"Nataša"
1,18,"Bohdana"
1,19,"Mário,Sára,Zara"
1,20,"Dalibor,Sebastián,Fabián"
1,21,"Vincent"
1,22,"Zora,Zoran,Auróra"
1,23,"Miloš"
1,24,"Timotej,Timon,Tímea"
1,25,"Gejza"
1,26,"Tamara"
1,27,"Bohuš"
1,28,"Alfonz"
1,29,"Gašpar"
1,30,"Ema"
1,31,"Emil"
2,1,"Tatiana,Táňa"
2,2,"Erich,Erik,Erika"
2,3,"Blažej"
2,4,"Veronika"
2,5,"Agáta"
2,6,"Dorota"
2,7,"Vanda"
2,8,"Zoja"
2,9,"Zdeno,Zdenko,Ronald"
2,10,"Gabriela"
2,11,"Dezider"
2,12,"Perla"
2,13,"Arpád"
2,14,"Valentín"
2,15,"Pravoslav"
2,16,"Ida,Liana"
2,17,"Miloslava"
2,18,"Jaromír,Jaromíra"
2,19,"Vlasta"
2,20,"Lívia,Aladár"
2,21,"Eleonóra"
2,22,"Etela"
2,23,"Roman,Romana"
2,24,"Matej,Matiáš,Matias"
2,25,"Frederik,Frederika"
2,26,"Viktor"
2,27,"Alexander"
2,28,"Zlatica"
2,29,"Radomír"
3,1,"Albín"
3,2,"Anežka"
3,3,"Bohumil,Bohumila"
3,4,"Kazimír"
3,5,"Fridrich"
3,6,"Radoslav,Radoslava"
3,7,"Tomáš"
3,8,"Alan,Alana"
3,9,"Františka"
3,10,"Branislav,Bronislav,Bruno"
3,11,"Angela,Angelika"
3,12,"Gregor"
3,13,"Vlastimil,Letícia"
3,14,"Matilda"
3,15,"Svetlana"
3,16,"Boleslav"
3,17,"Ľubica"
3,18,"Eduard"
3,19,"Jozef"
3,20,"Víťazoslav"
3,21,"Blahoslav"
3,22,"Beňadik,Benedikt"
3,23,"Adrián"
